date,rank,song,artist
1996-06-10,1,Old Man & Me,Hootie & the Blowfish
1996-06-10,1,Pretty Noose,Soundgarden
1996-06-17,1,Give Me One Reason,Tracy Chapman
1996-06-17,1,One More Astronaut,I Mother Earth
1996-06-24,1,Pretty Noose,Soundgarden
1996-06-24,1,Ahead by a Century,The Tragically Hip
1996-07-01,1,"You Learn""†",Alanis Morissette
1996-07-01,1,Pretty Noose,Soundgarden
1996-07-08,1,Pretty Noose,Soundgarden
1996-07-08,1,Ahead by a Century,The Tragically Hip
1996-07-15,1,Trippin' on a Hole in a Paper Heart,Stone Temple Pilots
1996-07-15,1,The Only Thing That Looks Good on Me Is You,Bryan Adams
1996-07-22,1,"You Learn""†",Alanis Morissette
1996-07-22,1,Trippin' on a Hole in a Paper Heart,Stone Temple Pilots
1996-07-29,1,Trippin' on a Hole in a Paper Heart,Stone Temple Pilots
1996-07-29,1,"You Learn""†",Alanis Morissette
1996-08-05,1,Trippin' on a Hole in a Paper Heart,Stone Temple Pilots
1996-08-05,1,Change the World,Eric Clapton
1996-08-12,1,Change the World,Eric Clapton
1996-08-12,1,Burden in My Hand,Soundgarden
1996-08-19,1,Burden in My Hand,Soundgarden
1996-08-19,1,Change the World,Eric Clapton
1996-08-26,1,Change the World,Eric Clapton
1996-08-26,1,Burden in My Hand,Soundgarden
1996-09-02,1,On-line chart not available,On-line chart not available
1996-09-02,1,Change the World,Eric Clapton
1996-09-09,1,Who You Are,Pearl Jam
1996-09-09,1,Key West Intermezzo,John Mellencamp
1996-09-16,1,Key West Intermezzo,John Mellencamp
1996-09-16,1,Standing Outside a Broken Phone Booth with Money in My Hand,Primitive Radio Gods
1996-09-23,1,E-bow the Letter,R.E.M.
1996-09-23,1,Key West Intermezzo,John Mellencamp
1996-09-30,1,If It Makes You Happy,Sheryl Crow
1996-09-30,1,Key West Intermezzo,John Mellencamp
1996-10-07,1,Novocaine for the Soul,Eels
1996-10-07,1,Key West Intermezzo,John Mellencamp
1996-10-14,1,Novocaine for the Soul,Eels
1996-10-14,1,Let's Make a Night to Remember,Bryan Adams
1996-10-21,1,Muzzle,The Smashing Pumpkins
1996-10-21,1,Let's Make a Night to Remember,Bryan Adams
1996-10-28,1,It's All Coming Back to Me Now,Celine Dion
1996-11-04,1,Aneurysm,Nirvana
1996-11-04,1,It's All Coming Back to Me Now,Celine Dion
1996-11-11,1,Aneurysm,Nirvana
1996-11-11,1,If It Makes You Happy,Sheryl Crow
1996-11-18,1,Head over Feet,Alanis Morissette
1996-11-18,1,Aneurysm,Nirvana
1996-11-25,1,Stinkfist,Tool
1996-11-25,1,Head over Feet,Alanis Morissette
1996-12-02,1,Swallowed,Bush X
1996-12-02,1,Head over Feet,Alanis Morissette
1996-12-09,1,Head over Feet,Alanis Morissette
1996-12-09,1,Swallowed,Bush X
1996-12-16,1,Burden in My Hand,Soundgarden
1996-12-16,1,Swallowed,Bush X
1996-12-16,1,Head over Feet,Alanis Morissette
1996-12-23,1,Head over Feet,Alanis Morissette
1996-12-30,1,Head over Feet,Alanis Morissette
1997-01-06,1,Head over Feet,Alanis Morissette
1997-01-13,1,Mouth,Merril Bainbridge
1997-01-20,1,How Bizarre,OMC
1997-01-27,1,Just Another Day,John Mellencamp
1997-02-03,1,Just Another Day,John Mellencamp
1997-02-10,1,Don't Speak,No Doubt
1997-02-17,1,Don't Speak,No Doubt
1997-02-24,1,A Long December,Counting Crows
1997-03-03,1,A Long December,Counting Crows
1997-03-10,1,Everyday Is a Winding Road,Sheryl Crow
1997-03-17,1,Everyday Is a Winding Road,Sheryl Crow
1997-03-24,1,Everyday Is a Winding Road,Sheryl Crow
1997-03-31,1,One Headlight,The Wallflowers
1997-04-07,1,One Headlight,The Wallflowers
1997-04-14,1,One Headlight,The Wallflowers
1997-04-21,1,One Headlight,The Wallflowers
1997-04-28,1,One Headlight,The Wallflowers
1997-05-05,1,Staring at the Sun,U2
1997-05-12,1,Staring at the Sun,U2
1997-05-19,1,Elegantly Wasted,INXS
1997-05-26,1,Elegantly Wasted,INXS
1997-06-02,1,Elegantly Wasted,INXS
1997-06-09,1,I Want You,Savage Garden
1997-06-16,1,I Want You,Savage Garden
1997-06-23,1,Clumsy,Our Lady Peace
1997-06-30,1,Clumsy,Our Lady Peace
1997-07-07,1,Clumsy,Our Lady Peace
1997-07-14,1,MMMBop,Hanson
1997-07-21,1,MMMBop,Hanson
1997-07-28,1,MMMBop,Hanson
1997-08-04,1,"Building a Mystery""†",Sarah McLachlan
1997-08-11,1,"Building a Mystery""†",Sarah McLachlan
1997-08-18,1,"Building a Mystery""†",Sarah McLachlan
1997-08-25,1,"Building a Mystery""†",Sarah McLachlan
1997-09-01,1,"Building a Mystery""†",Sarah McLachlan
1997-09-08,1,"Building a Mystery""†",Sarah McLachlan
1997-09-15,1,Honey,Mariah Carey
1997-09-22,1,Honey,Mariah Carey
1997-09-29,1,"Building a Mystery""†",Sarah McLachlan
1997-10-06,1,"Building a Mystery""†",Sarah McLachlan
1997-10-13,1,Fly,Sugar Ray
1997-10-20,1,Fly,Sugar Ray
1997-10-27,1,Anybody Seen My Baby?,The Rolling Stones
1997-11-03,1,Fly,Sugar Ray
1997-11-10,1,Tubthumping,Chumbawamba
1997-11-17,1,Tubthumping,Chumbawamba
1997-11-24,1,Tubthumping,Chumbawamba
1997-12-01,1,Tubthumping,Chumbawamba
1997-12-08,1,Tubthumping,Chumbawamba
1997-12-15,1,Tubthumping,Chumbawamba
1997-12-22,1,Tubthumping,Chumbawamba
1997-12-29,1,Tubthumping,Chumbawamba
1998-01-05,1,Tubthumping,Chumbawamba
1998-01-12,1,I Do,Lisa Loeb
1998-01-19,1,Back to You,Bryan Adams
1998-01-26,1,3 AM,Matchbox Twenty
1998-02-02,1,3 AM,Matchbox Twenty
1998-02-09,1,Back to You,Bryan Adams
