date,rank,song,artist
2010-04-13,1,Hon dansar vidare i livet,Hov1
2010-04-13,1,Euphoria,Loreen
2010-04-14,1,Shape of You,Ed Sheeran
2010-04-15,1,Popular,Eric Saade
2010-04-15,1,Cheap Thrills,Sia featuring Sean Paul
2010-04-16,1,Stereo Love,Edward Maya & Vika Jigulina
2010-04-16,1,See You Again,Wiz Khalifa featuring Charlie Puth
2010-04-17,1,Om sanningen ska fram,Eric Amarillo
2010-04-18,1,Waves,Mr Probz
2010-04-19,1,Just Give Me a Reason,Pink featuring Nate Ruess
2010-04-19,1,SOS,Avicii featuring Aloe Blacc
2010-04-20,1,Hon dansar vidare i livet,Hov1
2010-04-20,1,Somebody That I Used to Know,Gotye featuring Kimbra
2010-04-21,1,Shape of You,Ed Sheeran
2010-04-22,1,On the Floor,Jennifer Lopez
2010-04-22,1,Cheap Thrills,Sia featuring Sean Paul
2010-04-23,1,Stereo Love,Edward Maya & Vika Jigulina
2010-04-23,1,See You Again,Wiz Khalifa featuring Charlie Puth
2010-04-24,1,Om sanningen ska fram,Eric Amarillo
2010-04-25,1,Waves,Mr Probz
2010-04-26,1,SOS,Avicii featuring Aloe Blacc
2010-04-26,1,Just Give Me a Reason,Pink featuring Nate Ruess
2010-04-27,1,Somebody That I Used to Know,Gotye featuring Kimbra
2010-04-27,1,Without You,Avicii featuring Sandro Cavazza
2010-04-28,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-04-29,1,On the Floor,Jennifer Lopez
2010-04-29,1,One Dance,Drake featuring Wizkid & Kyla
2010-04-30,1,Manboy,Eric Saade
2010-04-30,1,See You Again,Wiz Khalifa featuring Charlie Puth
2010-05-02,1,All of Me,John Legend
2010-05-03,1,Just Give Me a Reason,Pink featuring Nate Ruess
2010-05-03,1,SOS,Avicii featuring Aloe Blacc
2010-05-04,1,Somebody That I Used to Know,Gotye featuring Kimbra
2010-05-04,1,Without You,Avicii featuring Sandro Cavazza
2010-05-05,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-05-06,1,Jag kommer,Veronica Maggio
2010-05-06,1,One Dance,Drake featuring Wizkid & Kyla
2010-05-07,1,Hurricane,Rebound!
2010-05-07,1,See You Again,Wiz Khalifa featuring Charlie Puth
2010-05-09,1,All of Me,John Legend
2010-05-10,1,Can't Hold Us,Macklemore and Ryan Lewis featuring Ray Dalton
2010-05-10,1,SOS,Avicii featuring Aloe Blacc
2010-05-11,1,Better Now,Post Malone
2010-05-11,1,Dansa pausa,Panetoz
2010-05-12,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-05-13,1,Jag kommer,Veronica Maggio
2010-05-13,1,One Dance,Drake featuring Wizkid & Kyla
2010-05-14,1,Stereo Love,Edward Maya & Vika Jigulina
2010-05-14,1,See You Again,Wiz Khalifa featuring Charlie Puth
2010-05-16,1,All of Me,John Legend
2010-05-17,1,I Don't Care,Ed Sheeran and Justin Bieber
2010-05-17,1,Can't Hold Us,Macklemore and Ryan Lewis featuring Ray Dalton
2010-05-18,1,Dansa pausa,Panetoz
2010-05-18,1,Better Now,Post Malone
2010-05-19,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-05-20,1,Can't Stop the Feeling!,Justin Timberlake
2010-05-20,1,Om sanningen ska fram,Eric Amarillo
2010-05-21,1,Stereo Love,Edward Maya & Vika Jigulina
2010-05-21,1,Are You With Me,Lost Frequencies
2010-05-23,1,All of Me,John Legend
2010-05-24,1,Can't Hold Us,Macklemore and Ryan Lewis featuring Ray Dalton
2010-05-24,1,Hornstullsstrand,Hov1 and Veronica Maggio
2010-05-25,1,Mer för varandra,Norlie & KKV and Estrad
2010-05-25,1,Dansa pausa,Panetoz
2010-05-26,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-05-27,1,Om sanningen ska fram,Eric Amarillo
2010-05-27,1,Can't Stop the Feeling!,Justin Timberlake
2010-05-28,1,Det draaar,Axel Wikner
2010-05-28,1,Manboy,Eric Saade
2010-05-30,1,All of Me,John Legend
2010-05-31,1,I Don't Care,Ed Sheeran and Justin Bieber
2010-05-31,1,Can't Hold Us,Macklemore and Ryan Lewis featuring Ray Dalton
2010-06-01,1,Mer för varandra,Norlie & KKV and Estrad
2010-06-01,1,Whistle,Flo Rida
2010-06-02,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-06-03,1,Can't Stop the Feeling!,Justin Timberlake
2010-06-04,1,Satellite,Lena
2010-06-04,1,Waiting for Love,Avicii
2010-06-06,1,All of Me,John Legend
2010-06-07,1,Can't Hold Us,Macklemore and Ryan Lewis featuring Ray Dalton
2010-06-07,1,I Don't Care,Ed Sheeran and Justin Bieber
2010-06-08,1,Whistle,Flo Rida
2010-06-08,1,Mer för varandra,Norlie & KKV and Estrad
2010-06-09,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-06-10,1,Can't Stop the Feeling!,Justin Timberlake
2010-06-11,1,Waiting for Love,Avicii
2010-06-11,1,Satellite,Lena
2010-06-13,1,All of Me,John Legend
2010-06-14,1,Första klass,Einár
2010-06-14,1,Can't Hold Us,Macklemore and Ryan Lewis featuring Ray Dalton
2010-06-15,1,Mer för varandra,Norlie & KKV and Estrad
2010-06-15,1,Whistle,Flo Rida
2010-06-16,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-06-18,1,Waiting for Love,Avicii
2010-06-18,1,Satellite,Lena
2010-06-18,1,The Ocean,Mike Perry featuring Shy Martin
2010-06-20,1,All of Me,John Legend
2010-06-21,1,Can't Hold Us,Macklemore and Ryan Lewis featuring Ray Dalton
2010-06-21,1,Första klass,Einár
2010-06-22,1,Mer för varandra,Norlie & KKV and Estrad
2010-06-22,1,Whistle,Flo Rida
2010-06-23,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-06-25,1,Gamla Ullevi,Kent
2010-06-25,1,Sun Is Shining,Axwell and Ingrosso
2010-06-25,1,The Ocean,Mike Perry featuring Shy Martin
2010-06-27,1,All of Me,John Legend
2010-06-28,1,Wake Me Up!,Avicii
2010-06-28,1,I Don't Care,Ed Sheeran and Justin Bieber
2010-06-29,1,Mer för varandra,Norlie & KKV and Estrad
2010-06-29,1,Whistle,Flo Rida
2010-06-30,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-07-01,1,What Are Words,Chris Medina
2010-07-02,1,The Ocean,Mike Perry featuring Shy Martin
2010-07-02,1,When You Tell the World You're Mine,Agnes & Björn Skifs
2010-07-02,1,Sun Is Shining,Axwell and Ingrosso
2010-07-03,1,Din soldat,Albin feat. Kristin Amparo
2010-07-05,1,Señorita,Shawn Mendes and Camila Cabello
2010-07-05,1,Wake Me Up!,Avicii
2010-07-06,1,Don't Matter to Me,Drake featuring Michael Jackson
2010-07-06,1,Whistle,Flo Rida
2010-07-07,1,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber
2010-07-08,1,What Are Words,Chris Medina
2010-07-09,1,Sun Is Shining,Axwell and Ingrosso
2010-07-09,1,We No Speak Americano,Yolanda Be Cool & DCUP
2010-07-09,1,The Ocean,Mike Perry featuring Shy Martin
2010-07-10,1,Din soldat,Albin feat. Kristin Amparo
