date,rank,song,artist
1968-08-16,1,"Yummy, Yummy, Yummy",The Ohio Express
1968-08-23,1,Angel of the Morning,Merrilee Rush
1968-08-30,1,Angel of the Morning,Merrilee Rush
1968-09-06,1,Indian Lake,The Cowsills
1968-09-13,1,Indian Lake,The Cowsills
1968-09-20,1,Indian Lake,The Cowsills
1968-09-27,1,I Have Loved Me a Man,Allison Durbin
1968-10-04,1,I Have Loved Me a Man,Allison Durbin
1968-10-11,1,Hey Jude,The Beatles
1968-10-18,1,Hey Jude,The Beatles
1968-10-25,1,Hey Jude,The Beatles
1968-11-01,1,Hey Jude,The Beatles
1968-11-08,1,Hey Jude,The Beatles
1968-11-15,1,Revolution,The Beatles
1968-11-22,1,Jesamine,The Casuals
1968-11-29,1,Jesamine,The Casuals
1968-12-06,1,Little Arrows,Leapy Lee
1968-12-13,1,Little Arrows,Leapy Lee
1968-12-20,1,Elenore,The Turtles
1968-12-27,1,My Little Lady,The Tremeloes
1969-01-03,1,Summer break - no chart,Summer break - no chart
1969-01-10,1,Summer break - no chart,Summer break - no chart
1969-01-17,1,Love Child,Diana Ross & the Supremes
1969-01-24,1,Love Child,Diana Ross & the Supremes
1969-01-31,1,Lily The Pink,The Scaffold
1969-02-07,1,I'm a Tiger,Lulu
1969-02-14,1,Eloise,Barry Ryan
1969-02-21,1,The Wreck of the 'Antoinette',"Dave Dee, Dozy, Beaky, Mick & Tich"
1969-02-28,1,"Ob-La-Di, Ob-La-Da",Marmalade
1969-03-07,1,Only One Woman,The Marbles
1969-03-14,1,"Ob-La-Di, Ob-La-Da",The Beatles
1969-03-21,1,I Started a Joke,Bee Gees
1969-03-28,1,I Started a Joke,Bee Gees
1969-04-03,1,Fox on the Run,Manfred Mann
1969-04-10,1,My Son John,Rebels
1969-04-17,1,My Son John,Rebels
1969-04-24,1,M'Lady,John Rowles
1969-05-01,1,Crimson & Clover,Tommy James & the Shondells
1969-05-08,1,Crimson & Clover,Tommy James & the Shondells
1969-05-15,1,Crimson & Clover,Tommy James & the Shondells
1969-05-22,1,Where Do You Go To ?,Peter Sarstedt
1969-05-29,1,Where Do You Go To ?,Peter Sarstedt
1969-06-05,1,Get Back,The Beatles
1969-06-12,1,Get Back,The Beatles
1969-06-20,1,Hair,The Cowsills
1969-06-27,1,Hair,The Cowsills
1969-07-04,1,Hair,The Cowsills
1969-07-11,1,Hair,The Cowsills
1969-07-18,1,In the Ghetto,Elvis Presley
1969-07-25,1,In the Ghetto,Elvis Presley
1969-08-01,1,In the Ghetto,Elvis Presley
1969-08-08,1,In the Ghetto,Elvis Presley
1969-08-15,1,Bad Moon Rising,Creedence Clearwater Revival
1969-08-22,1,Heather Honey,Tommy Roe
1969-08-29,1,Bad Moon Rising,Creedence Clearwater Revival
1969-09-05,1,In The Year 2525,Zager & Evans
1969-09-12,1,In The Year 2525,Zager & Evans
1969-09-19,1,Honky Tonk Women,Rolling Stones
1969-09-26,1,Saint Paul,Shane
1969-10-03,1,Saint Paul,Shane
1969-10-10,1,Saint Paul,Shane
1969-10-17,1,Saint Paul,Shane
1969-10-24,1,Saint Paul,Shane
1969-10-31,1,Saint Paul,Shane
1969-11-07,1,Saved by the Bell,Robin Gibb
1969-11-14,1,Rain & Tears,Hi Revving Tongues
1969-11-21,1,Something,The Beatles
1969-11-28,1,Something,The Beatles
1969-12-05,1,Don't Forget to Remember,Bee Gees
1969-12-12,1,Don't Forget to Remember,Bee Gees
1969-12-19,1,Suspicious Minds,Elvis Presley
1969-12-26,1,Come Together,The Beatles
1970-01-02,1,Summer break - no chart,Summer break - no chart
1970-01-09,1,Summer break - no chart,Summer break - no chart
1970-01-16,1,And When I Die,"Blood, Sweat & Tears"
1970-01-23,1,And When I Die,"Blood, Sweat & Tears"
1970-01-30,1,And When I Die,"Blood, Sweat & Tears"
1970-02-06,1,"Nature""‡",The Fourmyula
1970-02-13,1,"Nature""‡",The Fourmyula
1970-02-20,1,Come & Get It,Badfinger
1970-02-27,1,Come & Get It,Badfinger
1970-03-06,1,"Nature""‡",The Fourmyula
1970-03-13,1,"Nature""‡",The Fourmyula
1970-03-20,1,Venus,Shocking Blue
1970-03-27,1,Venus,Shocking Blue
1970-04-03,1,Love Grows,Edison Lighthouse
1970-04-10,1,Love Grows,Edison Lighthouse
1970-04-17,1,Let It Be,The Beatles
1970-04-24,1,Let It Be,The Beatles
1970-05-01,1,Let It Be,The Beatles
1970-05-08,1,"Cheryl Moana Marie""‡",John Rowles
1970-05-15,1,Bridge over Troubled Water,Simon & Garfunkel
1970-05-22,1,Girlie,The Peddlers
1970-05-29,1,Bridge over Troubled Water,Simon & Garfunkel
1970-06-05,1,"Knock Knock, Who's There?",Mary Hopkin
1970-06-12,1,"Star Crossed Lovers""‡",Craig Scott
1970-06-20,1,"Star Crossed Lovers""‡",Craig Scott
1970-06-27,1,"Star Crossed Lovers""‡",Craig Scott
1970-07-03,1,Gimme Dat Ding,The Pipkins
1970-07-10,1,Gimme Dat Ding,The Pipkins
1970-07-17,1,"Star Crossed Lovers""‡",Craig Scott
1970-07-24,1,Rachel,Russell Morris
1970-07-31,1,In The Summertime,Mungo Jerry
1970-08-07,1,"Pretty Girl""‡",Hogsnort Rupert
1970-08-14,1,"Pretty Girl""‡",Hogsnort Rupert
1970-08-21,1,"Pretty Girl""‡",Hogsnort Rupert
1970-08-28,1,"Pinocchio""‡",Maria Dallas
1970-09-04,1,"Pinocchio""‡",Maria Dallas
1970-09-11,1,"Pinocchio""‡",Maria Dallas
1970-09-18,1,"Pinocchio""‡",Maria Dallas
1970-09-25,1,"Pinocchio""‡",Maria Dallas
1970-10-02,1,"Pinocchio""‡",Maria Dallas
1970-10-09,1,Lola,The Kinks
1970-10-16,1,Lola,The Kinks
1970-10-23,1,Lola,The Kinks
1970-10-30,1,Lola,The Kinks
1970-11-06,1,Lola,The Kinks
1970-11-13,1,Lola,The Kinks
1970-11-20,1,'Cracklin' Rosie,Neil Diamond
1970-11-27,1,'Cracklin' Rosie,Neil Diamond
1970-12-04,1,'Cracklin' Rosie,Neil Diamond
1970-12-11,1,'Cracklin' Rosie,Neil Diamond
1970-12-18,1,'Cracklin' Rosie,Neil Diamond
1970-12-25,1,Joanne,Michael Nesmith & the First National Band
1971-01-01,1,Summer break - no chart,Summer break - no chart
1971-01-08,1,Summer break - no chart,Summer break - no chart
1971-01-15,1,What Have They Done to My Song Ma,The New Seekers
1971-01-22,1,What Have They Done to My Song Ma,The New Seekers
1971-01-29,1,My Sweet Lord,George Harrison
1971-02-05,1,My Sweet Lord,George Harrison
1971-02-12,1,My Sweet Lord,George Harrison
1971-02-21,1,My Sweet Lord,George Harrison
1971-02-26,1,Knock Three Times,Tony Orlando & Dawn
1971-03-05,1,Knock Three Times,Tony Orlando & Dawn
1971-03-12,1,Burning Bridges,Mike Curb Congregation
1971-03-19,1,Burning Bridges,Mike Curb Congregation
1971-03-26,1,Rose Garden,Lynn Anderson
1971-04-02,1,Rose Garden,Lynn Anderson
1971-04-09,1,Rose Garden,Lynn Anderson
1971-04-16,1,The Pushbike Song,The Mixtures
1971-04-23,1,The Pushbike Song,The Mixtures
1971-04-30,1,Too Young To Be Married,The Hollies
1971-05-07,1,Too Young To Be Married,The Hollies
1971-05-14,1,Too Young To Be Married,The Hollies
1971-05-21,1,Too Young To Be Married,The Hollies
1971-05-28,1,I Am... I Said,Neil Diamond
1971-06-04,1,I Am... I Said,Neil Diamond
1971-06-11,1,I Am... I Said,Neil Diamond
1971-06-19,1,I Am... I Said,Neil Diamond
1971-06-26,1,I Am... I Said,Neil Diamond
1971-07-02,1,I Am... I Said,Neil Diamond
