date,rank,film
1952-09-10,1,Son of Paleface
1952-09-17,1,The Merry Widow
1952-09-24,1,The Quiet Man
1952-10-01,1,Ivanhoe
1952-10-08,1,Ivanhoe
1952-10-15,1,Ivanhoe
1952-10-22,1,Ivanhoe
1952-10-29,1,The Snows of Kilimanjaro
1952-11-05,1,The Snows of Kilimanjaro
1952-11-12,1,The Snows of Kilimanjaro
1952-11-19,1,The Snows of Kilimanjaro
1952-11-26,1,The Snows of Kilimanjaro
1952-12-03,1,The Iron Mistress
1952-12-10,1,Because of You
1952-12-17,1,The Thief
1952-12-24,1,Because of You
1952-12-31,1,Million Dollar Mermaid
1953-01-07,1,Million Dollar Mermaid
1953-01-14,1,Million Dollar Mermaid
1953-01-21,1,Above and Beyond
1953-01-28,1,The Bad and the Beautiful
1953-02-04,1,The Bad and the Beautiful
1953-02-11,1,The Bad and the Beautiful
1953-02-18,1,Peter Pan
1953-02-25,1,Peter Pan
1953-03-04,1,Peter Pan
1953-03-11,1,Peter Pan
1953-03-18,1,Peter Pan
1953-03-25,1,"Come Back, Little Sheba"
1953-04-01,1,Peter Pan
1953-04-08,1,Call Me Madam
1953-04-15,1,Salome
1953-04-22,1,Salome
1953-04-29,1,House of Wax
1953-05-06,1,House of Wax
1953-05-13,1,House of Wax
1953-05-20,1,House of Wax
1953-05-27,1,House of Wax
1953-06-03,1,Young Bess
1953-06-10,1,Fort Ti
1953-06-17,1,It Came from Outer Space
1953-06-24,1,It Came from Outer Space
1953-07-01,1,"The Beast from 20,000 Fathoms"
1953-07-08,1,Dangerous When Wet
1953-07-15,1,The Charge at Feather River
1953-07-22,1,The Charge at Feather River
1953-07-29,1,Second Chance
1953-08-05,1,Gentlemen Prefer Blondes
1953-08-12,1,The Band Wagon
1953-08-19,1,Gentlemen Prefer Blondes
1953-08-26,1,Gentlemen Prefer Blondes
1953-09-02,1,From Here to Eternity
1953-09-09,1,From Here to Eternity
1953-09-16,1,From Here to Eternity
1953-09-23,1,From Here to Eternity
1953-09-30,1,The Robe †
1953-10-07,1,The Robe †
1953-10-14,1,The Robe †
1953-10-21,1,The Robe †
1953-10-28,1,The Robe †
1953-11-04,1,The Robe †
1953-11-11,1,The Robe †
1953-11-18,1,The Robe †
1953-11-25,1,The Robe †
1953-12-02,1,How to Marry a Millionaire
1953-12-09,1,How to Marry a Millionaire
1953-12-16,1,How to Marry a Millionaire
1953-12-23,1,This Is Cinerama
1953-12-30,1,Easy to Love
1954-01-06,1,This Is Cinerama
1954-01-13,1,Knights of the Round Table
1954-01-20,1,Knights of the Round Table
1954-01-27,1,Knights of the Round Table
1954-02-03,1,Knights of the Round Table
1954-02-10,1,Knights of the Round Table
1954-02-17,1,Knights of the Round Table
1954-02-24,1,The Glenn Miller Story
1954-03-03,1,The Glenn Miller Story
1954-03-10,1,The Glenn Miller Story
1954-03-17,1,The Glenn Miller Story
1954-03-24,1,The Glenn Miller Story
1954-03-31,1,Rose Marie
1954-04-07,1,Rose Marie
1954-04-14,1,Rose Marie
1954-04-21,1,Prince Valiant
1954-04-28,1,Prince Valiant
1954-05-05,1,Executive Suite
1954-05-12,1,Executive Suite
1954-05-19,1,Executive Suite
1954-05-26,1,Executive Suite
1954-06-02,1,Dial M for Murder
1954-06-09,1,Three Coins in the Fountain
1954-06-16,1,Three Coins in the Fountain
1954-06-23,1,Demetrius and the Gladiators
1954-06-30,1,Demetrius and the Gladiators
1954-07-07,1,The Caine Mutiny
1954-07-14,1,The Caine Mutiny
1954-07-21,1,The Caine Mutiny
1954-07-28,1,The Caine Mutiny
1954-08-04,1,The Caine Mutiny
1954-08-11,1,The Caine Mutiny
1954-08-18,1,Magnificent Obsession
1954-08-25,1,Seven Brides for Seven Brothers
1954-09-01,1,Seven Brides for Seven Brothers
1954-09-08,1,Dragnet
1954-09-15,1,The Egyptian
1954-09-22,1,The Egyptian
1954-09-29,1,Sabrina
1954-10-06,1,Sabrina
1954-10-13,1,Woman's World
1954-10-20,1,A Star Is Born
1954-10-27,1,A Star Is Born
1954-11-03,1,White Christmas †
1954-11-10,1,White Christmas †
1954-11-17,1,White Christmas †
1954-11-24,1,White Christmas †
1954-12-01,1,White Christmas †
1954-12-08,1,White Christmas †
1954-12-15,1,White Christmas †
1954-12-22,1,White Christmas †
1954-12-29,1,There's No Business Like Show Business
1955-01-05,1,There's No Business Like Show Business
1955-01-12,1,"20,000 Leagues Under the Sea"
1955-01-19,1,Vera Cruz
1955-01-26,1,"20,000 Leagues Under the Sea"
1955-02-02,1,The Bridges at Toko-Ri
1955-02-09,1,The Bridges at Toko-Ri
1955-02-16,1,The Bridges at Toko-Ri
1955-02-23,1,Battle Cry
1955-03-02,1,The Country Girl
1955-03-09,1,Battle Cry
1955-03-16,1,The Country Girl
1955-03-23,1,The Country Girl
1955-03-30,1,The Country Girl
1955-04-06,1,The Country Girl
1955-04-13,1,A Man Called Peter
1955-04-20,1,East of Eden
1955-04-27,1,Blackboard Jungle
1955-05-04,1,Blackboard Jungle
1955-05-11,1,The Prodigal
1955-05-18,1,Blackboard Jungle
1955-05-25,1,Strategic Air Command
1955-06-01,1,Strategic Air Command
1955-06-08,1,Strategic Air Command
1955-06-15,1,Love Me or Leave Me
1955-06-22,1,Love Me or Leave Me
1955-06-29,1,The Seven Year Itch
1955-07-06,1,The Seven Year Itch
1955-07-13,1,Not as a Stranger
1955-07-20,1,Not as a Stranger
1955-07-27,1,Mister Roberts
1955-08-03,1,Mister Roberts
1955-08-10,1,Mister Roberts
1955-08-17,1,Mister Roberts
1955-08-24,1,Mister Roberts
1955-08-31,1,To Catch a Thief
1955-09-07,1,To Catch a Thief
1955-09-14,1,To Catch a Thief
1955-09-21,1,Cinerama Holiday †
1955-09-28,1,Cinerama Holiday †
1955-10-05,1,To Hell and Back
1955-10-12,1,To Hell and Back
1955-10-19,1,To Hell and Back
1955-10-26,1,To Hell and Back
1955-11-02,1,Trial
1955-11-09,1,Cinerama Holiday †
1955-11-16,1,Guys and Dolls
1955-11-23,1,Guys and Dolls
1955-11-30,1,The Tender Trap
1955-12-07,1,The Tender Trap
1955-12-14,1,Guys and Dolls
1955-12-21,1,Cinerama Holiday †
1955-12-28,1,Guys and Dolls
1956-01-04,1,Guys and Dolls †
1956-01-11,1,Guys and Dolls †
1956-01-18,1,Guys and Dolls †
1956-01-25,1,Guys and Dolls †
1956-02-01,1,Helen of Troy
1956-02-08,1,The Benny Goodman Story
1956-02-15,1,The Benny Goodman Story
1956-02-22,1,Picnic
1956-02-29,1,Picnic
1956-03-07,1,Picnic
1956-03-14,1,Picnic
1956-03-21,1,Picnic
1956-03-28,1,Carousel
1956-04-04,1,Alexander the Great
1956-04-11,1,Carousel
1956-04-18,1,The Man in the Gray Flannel Suit
1956-04-25,1,The Swan
1956-05-02,1,The Swan
1956-05-09,1,The Man in the Gray Flannel Suit
1956-05-16,1,The Revolt of Mamie Stover
1956-05-23,1,The Man Who Knew Too Much
1956-05-30,1,The Man Who Knew Too Much
1956-06-06,1,The Searchers
1956-06-13,1,The Searchers
1956-06-20,1,Bhowani Junction
1956-06-27,1,The Catered Affair
1956-07-04,1,Trapeze
1956-07-11,1,Trapeze
1956-07-18,1,The King and I
1956-07-25,1,The King and I
1956-08-01,1,The King and I
1956-08-08,1,The King and I
1956-08-15,1,High Society
1956-08-22,1,High Society
1956-08-29,1,High Society
1956-09-05,1,High Society
1956-09-12,1,High Society
1956-09-19,1,High Society
1956-09-26,1,High Society
1956-10-03,1,Tea and Sympathy
1956-10-10,1,War and Peace
1956-10-17,1,War and Peace
1956-10-24,1,War and Peace
1956-10-31,1,War and Peace
1956-11-07,1,Giant
1956-11-14,1,Giant
1956-11-21,1,Giant
1956-11-28,1,Giant
1956-12-05,1,Giant
1956-12-12,1,Giant
1956-12-19,1,The Ten Commandments
1956-12-26,1,The Ten Commandments
1957-01-02,1,The Teahouse of the August Moon
1957-01-09,1,The Teahouse of the August Moon
1957-01-16,1,The Ten Commandments †
1957-01-23,1,Anastasia
1957-01-30,1,Anastasia
1957-02-06,1,The Ten Commandments †
1957-02-13,1,The Ten Commandments †
1957-02-20,1,The Ten Commandments †
1957-02-27,1,The Ten Commandments †
1957-03-06,1,The Ten Commandments †
1957-03-13,1,The Ten Commandments †
1957-03-20,1,The Ten Commandments †
1957-03-27,1,The Ten Commandments †
1957-04-03,1,The Ten Commandments †
1957-04-10,1,The Ten Commandments †
1957-04-17,1,The Ten Commandments †
1957-04-24,1,Funny Face
1957-05-01,1,Around the World in 80 Days
1957-05-08,1,Funny Face
1957-05-15,1,Around the World in 80 Days
1957-05-22,1,Around the World in 80 Days
1957-05-29,1,Around the World in 80 Days
1957-06-05,1,Gunfight at the O.K. Corral
1957-06-12,1,Gunfight at the O.K. Corral
1957-06-19,1,Island in the Sun
1957-06-26,1,Island in the Sun
1957-07-03,1,Around the World in 80 Days
1957-07-10,1,Around the World in 80 Days
1957-07-17,1,Around the World in 80 Days
1957-07-24,1,Around the World in 80 Days
1957-07-31,1,Around the World in 80 Days
1957-08-07,1,Around the World in 80 Days
1957-08-14,1,The Pride and the Passion
1957-08-21,1,Around the World in 80 Days
1957-08-28,1,Around the World in 80 Days
1957-09-04,1,The Pajama Game
1957-09-11,1,Around the World in 80 Days
